state_abbr,region,demand_usd,delivered_usd,unmet_usd,fill_rate,shortfall_usd,strategy,scenario
FL,EAST,608128141.6563812,608128141.6563812,0.0,1.0,0.0,Resilience-First,stress
MN,CENTRAL,556075765.2023416,556075765.2023416,0.0,1.0,0.0,Resilience-First,stress
IL,CENTRAL,415274397.1812145,415274397.1812145,0.0,1.0,0.0,Resilience-First,stress
CO,WEST,378088218.0559482,378088218.05594826,0.0,1.0000000000000002,0.0,Resilience-First,stress
NJ,EAST,373854523.6404256,373854523.6404256,0.0,1.0,0.0,Resilience-First,stress
NC,EAST,367048894.3438118,367048894.3438118,0.0,1.0,0.0,Resilience-First,stress
MD,EAST,362408379.1294035,362408379.1294035,0.0,1.0,0.0,Resilience-First,stress
PA,EAST,325932412.58524275,325932412.58524275,0.0,1.0,0.0,Resilience-First,stress
WA,WEST,310880043.02647096,310880043.02647096,0.0,1.0,0.0,Resilience-First,stress
WI,CENTRAL,183993325.38079116,183993325.38079116,0.0,1.0,0.0,Resilience-First,stress
MI,CENTRAL,171719748.73644218,171719748.73644218,0.0,1.0,0.0,Resilience-First,stress
OH,CENTRAL,162969653.9265102,162969653.9265102,0.0,1.0,0.0,Resilience-First,stress
VA,EAST,158866969.5987644,158866969.5987644,0.0,1.0,0.0,Resilience-First,stress
NH,EAST,158156757.0176588,158156757.0176588,0.0,1.0,0.0,Resilience-First,stress
IA,CENTRAL,156363987.3954505,156363987.3954505,0.0,1.0,0.0,Resilience-First,stress
UT,WEST,153729995.10435987,153729995.10435987,0.0,1.0,0.0,Resilience-First,stress
MO,CENTRAL,142063202.02445063,142063202.02445063,0.0,1.0,0.0,Resilience-First,stress
GA,EAST,140201479.7244651,140201479.7244651,0.0,1.0,0.0,Resilience-First,stress
IN,CENTRAL,124687127.22458576,124687127.22458574,0.0,0.9999999999999999,0.0,Resilience-First,stress
CT,EAST,116116309.37687466,116116309.37687466,0.0,1.0,0.0,Resilience-First,stress
ID,WEST,103104939.08030918,103104939.08030918,0.0,1.0,0.0,Resilience-First,stress
KS,CENTRAL,98554062.34701124,98554062.34701124,0.0,1.0,0.0,Resilience-First,stress
NM,WEST,86232218.82821819,86232218.82821819,0.0,1.0,0.0,Resilience-First,stress
SC,EAST,81150406.47603549,81150406.47603549,0.0,1.0,0.0,Resilience-First,stress
AL,EAST,75468705.8271908,75468705.8271908,0.0,1.0,0.0,Resilience-First,stress
TN,EAST,55603439.35956753,55603439.35956753,0.0,1.0,0.0,Resilience-First,stress
OK,CENTRAL,44888193.2329842,44888193.2329842,0.0,1.0,0.0,Resilience-First,stress
KY,EAST,42681707.54411248,42681707.54411248,0.0,1.0,0.0,Resilience-First,stress
DE,EAST,40027029.44968868,40027029.44968868,0.0,1.0,0.0,Resilience-First,stress
ME,EAST,34959007.63306143,34959007.63306143,0.0,1.0,0.0,Resilience-First,stress
NE,CENTRAL,32518082.83974708,32518082.83974708,0.0,1.0,0.0,Resilience-First,stress
NV,WEST,31807870.258641493,31807870.258641493,0.0,1.0,0.0,Resilience-First,stress
LA,EAST,28987705.73755232,28987705.73755232,0.0,1.0,0.0,Resilience-First,stress
RI,EAST,28360236.369779423,28360236.369779423,0.0,1.0,0.0,Resilience-First,stress
VT,EAST,28249912.085335836,28249912.085335836,0.0,1.0,0.0,Resilience-First,stress
AR,EAST,14266309.032111265,14266309.032111265,0.0,1.0,0.0,Resilience-First,stress
MT,WEST,9329297.303260772,9329297.303260772,0.0,1.0,0.0,Resilience-First,stress
SD,CENTRAL,9225868.28659491,9225868.28659491,0.0,1.0,0.0,Resilience-First,stress
MS,EAST,6833210.367724631,6833210.367724631,0.0,1.0,0.0,Resilience-First,stress
ND,CENTRAL,6826315.099946907,6826315.099946907,0.0,1.0,0.0,Resilience-First,stress
DC,EAST,4109579.595523592,4109579.595523592,0.0,1.0,0.0,Resilience-First,stress
HI,WEST,3592434.512194281,3592434.5121942814,0.0,1.0000000000000002,0.0,Resilience-First,stress
WV,EAST,3220090.0521971774,3220090.0521971774,0.0,1.0,0.0,Resilience-First,stress
WY,WEST,2482296.3999806936,2482296.3999806936,0.0,1.0,0.0,Resilience-First,stress
AK,WEST,1634178.4633206232,1634178.4633206232,0.0,1.0,0.0,Resilience-First,stress
CA,WEST,8526129617.243685,8526129617.243685,0.0,1.0,0.0,Targeted Allocation,stress
TX,CENTRAL,1886365987.023106,1886365987.023106,0.0,1.0,0.0,Targeted Allocation,stress
OR,WEST,1054155433.1262456,1054155433.1262455,0.0,0.9999999999999999,0.0,Targeted Allocation,stress
MA,EAST,885793679.797555,885793679.797555,0.0,1.0,0.0,Targeted Allocation,stress
AZ,WEST,746881615.1475242,746881615.1475244,0.0,1.0000000000000002,0.0,Targeted Allocation,stress
